ID Read success  
REG_MODE2 success
REG_REFMUX success
REG_MODE0 success
09/13/2022,  Range is 5[kV/m], Resistor is 2.2[kOhm]
Timestamp 	voltage[V] 	current[mA] 	field strength[kV/m]
22:21:00.641	-0.036953	-0.016797	-0.083984
22:21:00.692	0.012093	0.005497	0.027484
22:21:00.743	0.012330	0.005604	0.028022
22:21:00.795	-0.007202	-0.003274	-0.016369
22:21:00.846	-0.101994	-0.046361	-0.231805
22:21:00.897	-0.003768	-0.001713	-0.008564
22:21:00.948	0.000262	0.000119	0.000595
22:21:00.999	-0.002877	-0.001308	-0.006538
22:21:01.050	-0.003045	-0.001384	-0.006921
22:21:01.101	-0.001909	-0.000868	-0.004340
22:21:01.152	0.009210	0.004186	0.020932
22:21:01.203	-0.001930	-0.000877	-0.004385
22:21:01.254	-0.001465	-0.000666	-0.003329
22:21:01.306	0.004458	0.002027	0.010133
22:21:01.357	0.006307	0.002867	0.014334
22:21:01.408	0.017006	0.007730	0.038650
22:21:01.458	0.021443	0.009747	0.048735
22:21:01.509	0.019266	0.008757	0.043787
22:21:01.560	0.014294	0.006497	0.032487
22:21:01.611	0.013711	0.006232	0.031161
22:21:01.662	0.014909	0.006777	0.033883
22:21:01.713	0.018182	0.008265	0.041323
22:21:01.763	0.017591	0.007996	0.039980
22:21:01.814	0.004094	0.001861	0.009304
22:21:01.865	-0.013913	-0.006324	-0.031620
22:21:01.917	-0.010769	-0.004895	-0.024476
22:21:01.968	0.002051	0.000932	0.004661
22:21:02.019	0.007560	0.003436	0.017182
22:21:02.070	0.017131	0.007787	0.038933
22:21:02.121	0.021795	0.009907	0.049533
22:21:02.171	0.016611	0.007551	0.037753
22:21:02.222	0.007678	0.003490	0.017451
22:21:02.273	0.018389	0.008359	0.041793
22:21:02.324	0.022295	0.010134	0.050671
22:21:02.375	0.008639	0.003927	0.019635
22:21:02.426	0.020883	0.009492	0.047462
22:21:02.477	0.019761	0.008982	0.044912
22:21:02.528	-0.020549	-0.009341	-0.046703
22:21:02.579	0.009657	0.004390	0.021948
22:21:02.630	0.019425	0.008830	0.044148
22:21:02.681	0.019260	0.008755	0.043774
22:21:02.732	0.023228	0.010558	0.052790
22:21:02.783	0.016897	0.007680	0.038402
22:21:02.834	0.010220	0.004645	0.023227
22:21:02.884	0.011885	0.005402	0.027012
22:21:02.935	0.017748	0.008067	0.040336
22:21:02.986	-0.019735	-0.008970	-0.044852
22:21:03.037	0.000653	0.000297	0.001485
22:21:03.088	0.014524	0.006602	0.033010
22:21:03.139	0.002384	0.001084	0.005419
22:21:03.190	0.010979	0.004990	0.024952
22:21:03.241	-0.017763	-0.008074	-0.040370
22:21:03.293	-0.005446	-0.002475	-0.012376
22:21:03.344	-0.019974	-0.009079	-0.045395
22:21:03.395	-0.015757	-0.007162	-0.035811
22:21:03.446	-0.013116	-0.005962	-0.029809
22:21:03.497	-0.010844	-0.004929	-0.024646
22:21:03.548	-0.016207	-0.007367	-0.036835
22:21:03.599	-0.014476	-0.006580	-0.032901
22:21:03.651	-0.011949	-0.005431	-0.027156
22:21:03.702	-0.016308	-0.007413	-0.037063
22:21:03.753	-0.013428	-0.006104	-0.030519
22:21:03.804	-0.011812	-0.005369	-0.026844
22:21:03.856	-0.013339	-0.006063	-0.030315
22:21:03.907	-0.012986	-0.005903	-0.029513
22:21:03.958	-0.014354	-0.006525	-0.032623
22:21:04.009	-0.013487	-0.006130	-0.030651
22:21:04.060	-0.012671	-0.005760	-0.028798
22:21:04.111	-0.016024	-0.007283	-0.036417
22:21:04.162	-0.018990	-0.008632	-0.043158
22:21:04.218	-0.047539	-0.021609	-0.108043
22:21:04.269	-0.022697	-0.010317	-0.051584
22:21:04.320	-0.020877	-0.009490	-0.047448
22:21:04.371	-0.023015	-0.010461	-0.052307
22:21:04.423	-0.018215	-0.008280	-0.041398
22:21:04.474	-0.014463	-0.006574	-0.032870
22:21:04.525	-0.017725	-0.008057	-0.040284
22:21:04.576	-0.018445	-0.008384	-0.041921
22:21:04.627	-0.037427	-0.017012	-0.085061
22:21:04.678	-0.015763	-0.007165	-0.035824
22:21:04.729	-0.040704	-0.018502	-0.092509
